n1,nsv,al,av,n,λ,s/h0,result
0.27 ,0.30 ,0.34 ,0.90 ,0.55 ,3.00 ,0.22 ,f
0.27 ,0.29 ,0.29 ,0.74 ,0.72 ,3.00 ,0.29 ,f
0.18 ,0.19 ,0.25 ,1.09 ,0.54 ,3.00 ,0.49 ,f
0.07 ,0.08 ,0.15 ,0.90 ,0.53 ,3.00 ,0.63 ,f
0.13 ,0.14 ,0.24 ,1.03 ,0.25 ,3.00 ,0.29 ,f
0.28 ,0.31 ,0.26 ,0.67 ,0.18 ,3.00 ,0.19 ,f
0.22 ,0.24 ,0.16 ,0.67 ,0.23 ,3.00 ,0.38 ,f
0.06 ,0.07 ,0.29 ,0.69 ,0.61 ,3.00 ,0.30 ,f
0.04 ,0.05 ,0.26 ,0.80 ,0.25 ,3.15 ,0.44 ,f
0.09 ,0.10 ,0.26 ,0.80 ,0.40 ,3.15 ,0.44 ,f
0.10 ,0.10 ,0.26 ,0.80 ,0.15 ,3.15 ,0.44 ,f
0.10 ,0.11 ,0.26 ,0.80 ,0.25 ,3.15 ,0.44 ,f
0.15 ,0.16 ,0.26 ,0.80 ,0.32 ,3.15 ,0.44 ,f
0.20 ,0.22 ,0.40 ,1.38 ,0.11 ,3.50 ,0.30 ,f
0.19 ,0.21 ,0.16 ,0.44 ,0.75 ,3.50 ,0.20 ,f
0.30 ,0.33 ,0.22 ,0.67 ,0.80 ,3.50 ,0.49 ,f
0.25 ,0.27 ,0.11 ,0.59 ,0.29 ,3.50 ,0.47 ,f
0.12 ,0.13 ,0.19 ,0.35 ,0.19 ,3.50 ,0.36 ,f
0.23 ,0.26 ,0.13 ,0.20 ,0.86 ,3.50 ,0.50 ,f
0.17 ,0.19 ,0.40 ,0.73 ,0.55 ,3.50 ,0.45 ,f
0.21 ,0.23 ,0.40 ,0.96 ,0.27 ,3.50 ,0.21 ,f
0.20 ,0.22 ,0.56 ,1.61 ,0.62 ,3.50 ,0.41 ,f
0.29 ,0.32 ,0.34 ,1.50 ,0.16 ,3.50 ,0.48 ,f
0.04 ,0.04 ,0.20 ,0.63 ,0.20 ,3.70 ,0.28 ,f
0.04 ,0.04 ,0.20 ,0.63 ,0.20 ,3.70 ,0.28 ,f
0.04 ,0.05 ,0.20 ,0.63 ,0.20 ,3.70 ,0.28 ,f
0.07 ,0.08 ,0.20 ,0.63 ,0.20 ,3.70 ,0.28 ,f
0.08 ,0.09 ,0.20 ,0.63 ,0.20 ,3.70 ,0.28 ,f
0.08 ,0.09 ,0.20 ,0.63 ,0.20 ,3.70 ,0.28 ,f
0.08 ,0.09 ,0.20 ,0.63 ,0.20 ,3.70 ,0.28 ,f
0.30 ,0.33 ,0.51 ,1.82 ,0.33 ,4.00 ,0.24 ,f
0.15 ,0.17 ,0.17 ,0.46 ,0.38 ,4.00 ,0.19 ,f
0.13 ,0.14 ,0.25 ,0.98 ,0.83 ,4.00 ,0.29 ,f
0.05 ,0.05 ,0.15 ,0.16 ,0.15 ,4.00 ,0.14 ,f
0.07 ,0.08 ,0.15 ,0.16 ,0.15 ,4.00 ,0.14 ,f
0.07 ,0.08 ,0.15 ,0.64 ,0.15 ,4.00 ,0.14 ,f
0.06 ,0.07 ,0.15 ,0.16 ,0.15 ,4.00 ,0.14 ,f
0.06 ,0.07 ,0.30 ,2.01 ,0.15 ,4.00 ,0.14 ,f
0.21 ,0.23 ,0.39 ,0.44 ,0.34 ,4.50 ,0.32 ,f
0.14 ,0.15 ,0.21 ,0.75 ,0.71 ,4.50 ,0.24 ,f
0.22 ,0.24 ,0.43 ,1.21 ,0.44 ,4.50 ,0.27 ,f
0.18 ,0.20 ,0.21 ,0.22 ,0.54 ,4.50 ,0.37 ,f
0.12 ,0.13 ,0.35 ,0.47 ,0.69 ,4.50 ,0.34 ,f
0.27 ,0.30 ,0.30 ,0.49 ,0.51 ,4.50 ,0.32 ,f
0.02 ,0.02 ,0.13 ,0.83 ,0.17 ,4.50 ,0.37 ,f
0.04 ,0.05 ,0.13 ,0.83 ,0.17 ,4.50 ,0.37 ,f
0.08 ,0.09 ,0.13 ,0.83 ,0.17 ,4.50 ,0.37 ,f
0.12 ,0.14 ,0.13 ,0.83 ,0.17 ,4.50 ,0.37 ,f
0.16 ,0.17 ,0.13 ,0.83 ,0.17 ,4.50 ,0.37 ,f
0.05 ,0.06 ,0.25 ,0.55 ,0.33 ,4.70 ,0.30 ,f
0.05 ,0.06 ,0.25 ,0.33 ,0.72 ,4.70 ,0.52 ,f
0.19 ,0.21 ,0.11 ,0.58 ,0.80 ,5.00 ,0.42 ,f
0.06 ,0.06 ,0.44 ,0.86 ,0.48 ,5.00 ,0.48 ,f
0.15 ,0.16 ,0.46 ,0.70 ,0.10 ,5.00 ,0.41 ,f
0.08 ,0.08 ,0.18 ,0.42 ,0.63 ,5.00 ,0.46 ,f
0.26 ,0.29 ,0.76 ,0.86 ,0.89 ,5.00 ,0.36 ,f
0.27 ,0.29 ,0.28 ,0.89 ,0.46 ,5.00 ,0.22 ,f
0.22 ,0.24 ,0.32 ,0.74 ,0.13 ,5.00 ,0.29 ,f
0.02 ,0.02 ,0.23 ,1.19 ,0.30 ,5.00 ,0.19 ,f
0.05 ,0.06 ,0.23 ,1.19 ,0.30 ,5.00 ,0.19 ,f
0.08 ,0.09 ,0.34 ,1.60 ,0.20 ,5.00 ,0.46 ,f
0.08 ,0.09 ,0.34 ,1.60 ,0.40 ,5.00 ,0.46 ,f
0.15 ,0.17 ,0.34 ,1.60 ,0.20 ,5.00 ,0.46 ,f
0.09 ,0.10 ,0.53 ,0.84 ,0.77 ,5.50 ,0.46 ,f
0.16 ,0.18 ,0.31 ,0.63 ,0.10 ,5.50 ,0.52 ,f
0.10 ,0.12 ,0.54 ,0.70 ,0.31 ,5.50 ,0.29 ,f
0.04 ,0.04 ,0.17 ,0.27 ,0.60 ,5.50 ,0.44 ,f
0.23 ,0.25 ,0.58 ,0.91 ,0.25 ,5.50 ,0.41 ,f
0.05 ,0.06 ,0.42 ,2.09 ,0.18 ,5.50 ,0.32 ,f
0.17 ,0.19 ,0.34 ,0.59 ,0.42 ,5.50 ,0.28 ,f
0.04 ,0.04 ,0.25 ,1.75 ,0.30 ,5.60 ,0.19 ,f
0.05 ,0.06 ,0.25 ,1.75 ,0.30 ,5.60 ,0.19 ,f
0.04 ,0.05 ,0.13 ,0.83 ,0.06 ,5.80 ,0.24 ,f
0.12 ,0.14 ,0.24 ,1.21 ,0.12 ,6.00 ,0.39 ,f
0.23 ,0.26 ,0.54 ,1.15 ,0.09 ,6.00 ,0.52 ,f
0.11 ,0.12 ,0.26 ,0.68 ,0.21 ,6.00 ,0.58 ,f
0.29 ,0.32 ,0.49 ,1.25 ,0.22 ,6.00 ,0.27 ,f
0.08 ,0.09 ,0.34 ,0.42 ,0.73 ,6.00 ,0.26 ,f
0.19 ,0.21 ,0.35 ,0.85 ,0.79 ,6.00 ,0.18 ,f
0.25 ,0.27 ,0.60 ,0.36 ,0.48 ,6.00 ,0.42 ,f
0.07 ,0.08 ,0.19 ,1.51 ,0.20 ,6.00 ,0.37 ,f
0.05 ,0.05 ,0.16 ,0.68 ,0.13 ,6.00 ,0.19 ,f
0.09 ,0.10 ,0.16 ,0.68 ,0.13 ,6.00 ,0.19 ,f
0.16 ,0.17 ,0.19 ,1.51 ,0.20 ,6.00 ,0.37 ,f
0.25 ,0.28 ,0.19 ,1.51 ,0.20 ,6.00 ,0.37 ,f
0.18 ,0.19 ,0.16 ,0.68 ,0.13 ,6.00 ,0.19 ,f
0.29 ,0.31 ,0.16 ,0.68 ,0.13 ,6.00 ,0.19 ,f
0.31 ,0.34 ,0.16 ,0.68 ,0.13 ,6.00 ,0.19 ,f
0.07 ,0.07 ,0.46 ,0.93 ,0.24 ,6.50 ,0.23 ,f
0.25 ,0.27 ,0.40 ,0.90 ,0.06 ,6.50 ,0.29 ,f
0.22 ,0.25 ,0.33 ,0.31 ,0.40 ,6.50 ,0.20 ,f
0.18 ,0.20 ,0.29 ,0.31 ,0.58 ,6.50 ,0.31 ,f
0.10 ,0.11 ,0.18 ,1.32 ,0.85 ,6.50 ,0.27 ,f
0.17 ,0.18 ,0.87 ,1.46 ,0.15 ,6.50 ,0.20 ,f
0.27 ,0.30 ,0.42 ,1.19 ,0.72 ,6.50 ,0.21 ,f
0.29 ,0.32 ,0.16 ,0.53 ,0.57 ,6.50 ,0.41 ,f
0.05 ,0.05 ,0.12 ,0.57 ,0.68 ,6.50 ,0.44 ,f
0.02 ,0.02 ,0.51 ,1.83 ,0.43 ,7.00 ,0.30 ,f
0.11 ,0.12 ,0.24 ,0.36 ,0.64 ,7.00 ,0.25 ,f
0.24 ,0.27 ,0.63 ,0.49 ,0.50 ,7.00 ,0.33 ,f
0.03 ,0.04 ,0.34 ,0.92 ,0.35 ,7.00 ,0.18 ,f
0.07 ,0.08 ,0.40 ,0.46 ,0.30 ,7.00 ,0.39 ,f
0.03 ,0.03 ,0.33 ,0.51 ,0.66 ,7.00 ,0.26 ,f
0.04 ,0.05 ,0.18 ,0.23 ,0.28 ,7.00 ,0.31 ,f
0.26 ,0.28 ,0.60 ,0.24 ,0.38 ,7.50 ,0.57 ,f
0.09 ,0.10 ,0.65 ,0.27 ,0.20 ,7.50 ,0.34 ,f
0.09 ,0.09 ,0.21 ,0.33 ,0.89 ,7.50 ,0.35 ,f
0.04 ,0.05 ,0.34 ,1.11 ,0.07 ,7.50 ,0.24 ,f
0.04 ,0.05 ,0.54 ,1.11 ,0.07 ,7.50 ,0.24 ,f
0.28 ,0.31 ,0.18 ,0.57 ,0.40 ,2.00 ,0.18 ,fs
0.07 ,0.07 ,0.20 ,0.66 ,0.08 ,2.00 ,0.31 ,fs
0.14 ,0.15 ,0.16 ,0.80 ,0.17 ,2.00 ,0.37 ,fs
0.25 ,0.28 ,0.21 ,1.11 ,0.36 ,2.00 ,0.21 ,fs
0.07 ,0.08 ,0.21 ,0.57 ,0.55 ,2.00 ,0.26 ,fs
0.28 ,0.31 ,0.29 ,0.68 ,0.07 ,2.00 ,0.31 ,fs
0.22 ,0.24 ,0.14 ,0.81 ,0.26 ,2.00 ,0.38 ,fs
0.26 ,0.28 ,0.26 ,1.38 ,0.36 ,2.00 ,0.37 ,fs
0.27 ,0.30 ,0.40 ,1.64 ,0.44 ,2.00 ,0.35 ,fs
0.18 ,0.20 ,0.23 ,0.54 ,0.25 ,2.00 ,0.48 ,fs
0.12 ,0.13 ,0.44 ,1.29 ,0.23 ,2.00 ,0.40 ,fs
0.12 ,0.13 ,0.23 ,1.02 ,0.10 ,2.00 ,0.25 ,fs
0.19 ,0.21 ,0.23 ,1.02 ,0.10 ,2.00 ,0.25 ,fs
0.12 ,0.13 ,0.23 ,1.02 ,0.15 ,2.00 ,0.25 ,fs
0.12 ,0.13 ,0.23 ,1.02 ,0.20 ,2.00 ,0.25 ,fs
0.03 ,0.03 ,0.43 ,0.46 ,0.29 ,2.50 ,0.54 ,fs
0.16 ,0.17 ,0.56 ,1.05 ,0.46 ,2.50 ,0.22 ,fs
0.17 ,0.19 ,0.52 ,0.68 ,0.37 ,2.50 ,0.17 ,fs
0.03 ,0.03 ,0.22 ,0.99 ,0.57 ,2.50 ,0.26 ,fs
0.09 ,0.10 ,0.31 ,1.30 ,0.63 ,2.50 ,0.35 ,fs
0.05 ,0.05 ,0.47 ,0.78 ,0.78 ,2.50 ,0.39 ,fs
0.15 ,0.17 ,0.46 ,0.85 ,0.51 ,2.50 ,0.26 ,fs
0.27 ,0.30 ,0.24 ,0.34 ,0.90 ,2.50 ,0.36 ,fs
0.09 ,0.10 ,0.67 ,1.30 ,0.49 ,2.50 ,0.17 ,fs
0.19 ,0.21 ,0.25 ,0.64 ,0.73 ,2.50 ,0.44 ,fs
0.27 ,0.30 ,0.25 ,0.82 ,0.68 ,2.50 ,0.23 ,fs
0.28 ,0.30 ,0.21 ,0.54 ,0.39 ,2.50 ,0.21 ,fs
0.14 ,0.15 ,0.50 ,1.28 ,0.12 ,2.50 ,0.35 ,fs
0.06 ,0.07 ,0.17 ,0.39 ,0.79 ,2.50 ,0.35 ,fs
0.04 ,0.04 ,0.39 ,1.33 ,0.27 ,2.50 ,0.25 ,fs
0.26 ,0.29 ,0.67 ,1.73 ,0.64 ,2.50 ,0.16 ,fs
0.06 ,0.06 ,0.22 ,0.45 ,0.42 ,2.50 ,0.16 ,fs
0.14 ,0.15 ,0.36 ,1.24 ,0.14 ,2.50 ,0.22 ,fs
0.29 ,0.32 ,0.19 ,0.74 ,0.32 ,2.50 ,0.23 ,fs
0.22 ,0.24 ,0.39 ,1.13 ,0.80 ,2.50 ,0.38 ,fs
0.19 ,0.21 ,0.66 ,1.47 ,0.75 ,2.50 ,0.50 ,fs
0.13 ,0.15 ,0.58 ,1.01 ,0.34 ,2.50 ,0.44 ,fs
0.28 ,0.31 ,0.28 ,1.18 ,0.50 ,2.50 ,0.34 ,fs
0.30 ,0.33 ,0.31 ,1.11 ,0.13 ,2.50 ,0.42 ,fs
0.02 ,0.02 ,0.47 ,0.92 ,0.53 ,2.50 ,0.38 ,fs
0.16 ,0.18 ,0.20 ,0.58 ,0.41 ,2.50 ,0.34 ,fs
0.07 ,0.08 ,0.54 ,1.69 ,0.43 ,2.50 ,0.47 ,fs
0.20 ,0.22 ,0.28 ,0.87 ,0.20 ,2.50 ,0.38 ,fs
0.05 ,0.06 ,0.54 ,0.61 ,0.49 ,2.50 ,0.27 ,fs
0.11 ,0.12 ,0.97 ,1.50 ,0.27 ,3.00 ,0.48 ,fs
0.11 ,0.12 ,0.57 ,1.35 ,0.77 ,3.00 ,0.22 ,fs
0.19 ,0.21 ,0.16 ,0.31 ,0.48 ,3.00 ,0.40 ,fs
0.31 ,0.34 ,0.45 ,0.87 ,0.12 ,3.00 ,0.40 ,fs
0.26 ,0.28 ,0.15 ,0.23 ,0.51 ,3.00 ,0.24 ,fs
0.05 ,0.06 ,0.46 ,0.33 ,0.18 ,3.00 ,0.20 ,fs
0.19 ,0.21 ,0.57 ,1.39 ,0.26 ,3.00 ,0.32 ,fs
0.29 ,0.32 ,0.28 ,0.70 ,0.52 ,3.00 ,0.51 ,fs
0.08 ,0.08 ,0.38 ,0.55 ,0.39 ,3.00 ,0.54 ,fs
0.25 ,0.28 ,0.27 ,0.34 ,0.67 ,3.00 ,0.29 ,fs
0.13 ,0.14 ,0.36 ,1.01 ,0.88 ,3.00 ,0.17 ,fs
0.10 ,0.11 ,0.51 ,0.33 ,0.25 ,3.00 ,0.56 ,fs
0.04 ,0.04 ,0.16 ,0.27 ,0.46 ,3.00 ,0.46 ,fs
0.30 ,0.33 ,0.26 ,0.40 ,0.56 ,3.00 ,0.23 ,fs
0.03 ,0.04 ,0.37 ,0.24 ,0.30 ,3.00 ,0.55 ,fs
0.12 ,0.14 ,0.35 ,0.93 ,0.22 ,3.00 ,0.50 ,fs
0.06 ,0.06 ,0.32 ,0.53 ,0.31 ,3.00 ,0.50 ,fs
0.22 ,0.25 ,0.35 ,0.53 ,0.35 ,3.00 ,0.22 ,fs
0.25 ,0.28 ,0.51 ,0.63 ,0.33 ,3.00 ,0.51 ,fs
0.28 ,0.31 ,0.24 ,0.20 ,0.43 ,3.00 ,0.41 ,fs
0.21 ,0.23 ,0.34 ,0.90 ,0.49 ,3.00 ,0.45 ,fs
0.06 ,0.07 ,0.38 ,0.61 ,0.15 ,3.00 ,0.30 ,fs
0.09 ,0.10 ,0.26 ,0.80 ,0.15 ,3.00 ,0.44 ,fs
0.05 ,0.06 ,0.26 ,0.80 ,0.25 ,3.00 ,0.44 ,fs
0.09 ,0.10 ,0.26 ,0.80 ,0.25 ,3.00 ,0.44 ,fs
0.09 ,0.10 ,0.26 ,0.80 ,0.40 ,3.00 ,0.44 ,fs
0.15 ,0.16 ,0.26 ,0.80 ,0.32 ,3.00 ,0.44 ,fs
0.11 ,0.12 ,0.26 ,0.80 ,0.60 ,3.15 ,0.44 ,fs
0.12 ,0.13 ,0.26 ,0.80 ,0.75 ,3.15 ,0.44 ,fs
0.13 ,0.15 ,0.26 ,0.80 ,0.75 ,3.15 ,0.44 ,fs
0.12 ,0.13 ,0.26 ,0.80 ,0.90 ,3.15 ,0.44 ,fs
0.15 ,0.17 ,0.26 ,0.80 ,0.90 ,3.15 ,0.44 ,fs
0.03 ,0.03 ,0.52 ,1.03 ,0.11 ,3.50 ,0.46 ,fs
0.08 ,0.08 ,0.56 ,0.69 ,0.65 ,3.50 ,0.21 ,fs
0.16 ,0.18 ,0.73 ,1.80 ,0.09 ,3.50 ,0.36 ,fs
0.18 ,0.20 ,0.28 ,0.32 ,0.39 ,3.50 ,0.19 ,fs
0.15 ,0.16 ,0.49 ,0.52 ,0.81 ,3.50 ,0.43 ,fs
0.17 ,0.19 ,0.52 ,0.63 ,0.83 ,3.50 ,0.19 ,fs
0.08 ,0.09 ,0.32 ,0.21 ,0.80 ,3.50 ,0.29 ,fs
0.02 ,0.03 ,0.65 ,0.91 ,0.10 ,3.50 ,0.23 ,fs
0.18 ,0.20 ,0.30 ,0.23 ,0.70 ,3.50 ,0.27 ,fs
0.29 ,0.32 ,0.25 ,0.41 ,0.57 ,3.50 ,0.31 ,fs
0.03 ,0.04 ,0.42 ,0.78 ,0.47 ,3.50 ,0.55 ,fs
0.10 ,0.10 ,0.28 ,1.10 ,0.15 ,3.85 ,0.44 ,fs
0.05 ,0.06 ,0.28 ,1.10 ,0.25 ,3.85 ,0.44 ,fs
0.10 ,0.11 ,0.28 ,1.10 ,0.25 ,3.85 ,0.44 ,fs
0.30 ,0.33 ,0.74 ,0.63 ,0.83 ,4.00 ,0.29 ,fs
0.28 ,0.31 ,0.36 ,0.57 ,0.54 ,4.00 ,0.45 ,fs
0.14 ,0.15 ,0.46 ,0.21 ,0.77 ,4.50 ,0.31 ,fs
0.04 ,0.04 ,0.23 ,1.19 ,0.30 ,5.00 ,0.19 ,fs
0.03 ,0.04 ,0.23 ,1.19 ,0.30 ,5.00 ,0.19 ,fs
0.03 ,0.04 ,0.23 ,1.19 ,0.60 ,5.00 ,0.19 ,fs
0.03 ,0.03 ,0.23 ,1.19 ,0.30 ,5.00 ,0.19 ,fs
0.04 ,0.04 ,0.23 ,1.19 ,0.60 ,5.00 ,0.19 ,fs
0.05 ,0.06 ,0.25 ,1.75 ,0.60 ,5.60 ,0.19 ,fs
0.04 ,0.04 ,0.25 ,1.75 ,0.60 ,5.60 ,0.19 ,fs
0.09 ,0.10 ,0.12 ,1.03 ,0.73 ,2.00 ,0.30 ,fs
0.13 ,0.15 ,0.16 ,0.65 ,0.66 ,2.50 ,0.25 ,fs
0.11 ,0.12 ,0.25 ,0.80 ,0.60 ,3.00 ,0.36 ,fs
0.02 ,0.02 ,0.28 ,0.65 ,0.44 ,3.50 ,0.41 ,fs
